,Location,Value,Title,Category,company,longitude,latitude
9,Negotiation,23,Lawyer,What they are skilled at,KPMG,,
10,Litigation,22,Lawyer,What they are skilled at,KPMG,,
11,Contract Negotiation,22,Lawyer,What they are skilled at,KPMG,,
12,Teamwork,22,Lawyer,What they are skilled at,KPMG,,
13,Commercial Litigation,18,Lawyer,What they are skilled at,KPMG,,
14,Customer Service,17,Lawyer,What they are skilled at,KPMG,,
0,Law,34,Lawyer,What they studied,KPMG,,
1,Jurisprudence,22,Lawyer,What they studied,KPMG,,
2,Legal Studies,6,Lawyer,What they studied,KPMG,,
3,Political Science and Government,6,Lawyer,What they studied,KPMG,,
4,Accounting,6,Lawyer,What they studied,KPMG,,
5,International Relations,5,Lawyer,What they studied,KPMG,,
6,Banking,4,Lawyer,What they studied,KPMG,,
7,International/Global Studies,4,Lawyer,What they studied,KPMG,,
8,Accounting,4,Lawyer,What they studied,KPMG,,
9,International Business,3,Lawyer,What they studied,KPMG,,
10,Writing,3,Lawyer,What they studied,KPMG,,
11,Economics,3,Lawyer,What they studied,KPMG,,
12,International Relations and Affairs,3,Lawyer,What they studied,KPMG,,
13,Finance,3,Lawyer,What they studied,KPMG,,
14,Human Resources Management,3,Lawyer,What they studied,KPMG,,
0,Australia,772,Lawyer,Where they live,clayton-utz,,
1,"New South Wales, Australia",289,Lawyer,Where they live,clayton-utz,,
2,"Sydney, NSW",286,Lawyer,Where they live,clayton-utz,,
3,Greater Sydney Area,286,Lawyer,Where they live,clayton-utz,,
4,"Victoria, Australia",171,Lawyer,Where they live,clayton-utz,,
5,"Melbourne, VIC",169,Lawyer,Where they live,clayton-utz,,
6,Greater Melbourne Area,169,Lawyer,Where they live,clayton-utz,,
7,"Queensland, Australia",148,Lawyer,Where they live,clayton-utz,,
8,Greater Brisbane Area,144,Lawyer,Where they live,clayton-utz,,
9,"Brisbane, QLD",143,Lawyer,Where they live,clayton-utz,,
10,"Western Australia, Australia",79,Lawyer,Where they live,clayton-utz,,
11,"Perth, WA",78,Lawyer,Where they live,clayton-utz,,
12,Greater Perth Area,78,Lawyer,Where they live,clayton-utz,,
13,"Australian Capital Territory, Australia",62,Lawyer,Where they live,clayton-utz,,
14,Greater Canberra Area,39,Lawyer,Where they live,clayton-utz,,
0,The College of Law Australia,146,Lawyer,Where they studied,clayton-utz,151.1949005,-33.8219605
1,The Australian National University,89,Lawyer,Where they studied,clayton-utz,149.121305,-35.276845
2,University of Melbourne,88,Lawyer,Where they studied,clayton-utz,144.9628925,-37.798269
3,UNSW,81,Lawyer,Where they studied,clayton-utz,151.227939,-33.917226
4,Monash University,79,Lawyer,Where they studied,clayton-utz,145.133607,-37.91063
5,University of Sydney,73,Lawyer,Where they studied,clayton-utz,151.1868,-33.8884
6,QUT (Queensland University of Technology),71,Lawyer,Where they studied,clayton-utz,153.027,-27.4773
7,The University of Queensland,55,Lawyer,Where they studied,clayton-utz,153.013225,-27.497473
8,The University of Western Australia,53,Lawyer,Where they studied,clayton-utz,115.817898,-31.980069
9,Macquarie University,41,Lawyer,Where they studied,clayton-utz,151.112474,-33.7750065
10,University of Technology Sydney,36,Lawyer,Where they studied,clayton-utz,151.200549,-33.883964
11,Griffith University,22,Lawyer,Where they studied,clayton-utz,153.0593735,-27.549348
12,Bond University,21,Lawyer,Where they studied,clayton-utz,153.4173785,-28.0739325
13,University of Adelaide,21,Lawyer,Where they studied,clayton-utz,138.604911,-34.9202175
14,The University of Notre Dame Australia,17,Lawyer,Where they studied,clayton-utz,115.7439855,-32.056436
0,Legal Research,266,Lawyer,What they are skilled at,clayton-utz,,
1,Legal Writing,210,Lawyer,What they are skilled at,clayton-utz,,
2,Legal Advice,209,Lawyer,What they are skilled at,clayton-utz,,
3,Teamwork,168,Lawyer,What they are skilled at,clayton-utz,,
4,Public Speaking,159,Lawyer,What they are skilled at,clayton-utz,,
5,Leadership,149,Lawyer,What they are skilled at,clayton-utz,,
6,Corporate Law,146,Lawyer,What they are skilled at,clayton-utz,,
7,Research Skills,142,Lawyer,What they are skilled at,clayton-utz,,
8,Litigation,138,Lawyer,What they are skilled at,clayton-utz,,
9,Microsoft Office,134,Lawyer,What they are skilled at,clayton-utz,,
10,Dispute Resolution,132,Lawyer,What they are skilled at,clayton-utz,,
11,Customer Service,132,Lawyer,What they are skilled at,clayton-utz,,
12,Commercial Litigation,129,Lawyer,What they are skilled at,clayton-utz,,
13,Communication,113,Lawyer,What they are skilled at,clayton-utz,,
14,Time Management,111,Lawyer,What they are skilled at,clayton-utz,,
0,Law,243,Lawyer,What they studied,clayton-utz,,
1,Jurisprudence,107,Lawyer,What they studied,clayton-utz,,
2,Political Science and Government,54,Lawyer,What they studied,clayton-utz,,
3,Arts,34,Lawyer,What they studied,clayton-utz,,
4,International Relations,30,Lawyer,What they studied,clayton-utz,,
5,International/Global Studies,25,Lawyer,What they studied,clayton-utz,,
6,Finance,25,Lawyer,What they studied,clayton-utz,,
7,Economics,24,Lawyer,What they studied,clayton-utz,,
8,Legal Studies,22,Lawyer,What they studied,clayton-utz,,
9,History,20,Lawyer,What they studied,clayton-utz,,
10,E-Commerce,19,Lawyer,What they studied,clayton-utz,,
11,Psychology,18,Lawyer,What they studied,clayton-utz,,
12,Criminology,16,Lawyer,What they studied,clayton-utz,,
13,Accounting,16,Lawyer,What they studied,clayton-utz,,
14,International Law and Legal Studies,12,Lawyer,What they studied,clayton-utz,,
0,Australia,139,Lawyer,Where they live,westpac,,
1,"New South Wales, Australia",114,Lawyer,Where they live,westpac,,
2,"Sydney, NSW",113,Lawyer,Where they live,westpac,,
3,Greater Sydney Area,113,Lawyer,Where they live,westpac,,
4,"Victoria, Australia",9,Lawyer,Where they live,westpac,,
5,Greater Melbourne Area,9,Lawyer,Where they live,westpac,,
6,"Melbourne, VIC",8,Lawyer,Where they live,westpac,,
7,"South Australia, Australia",5,Lawyer,Where they live,westpac,,
8,"Queensland, Australia",5,Lawyer,Where they live,westpac,,
9,"Adelaide, SA",5,Lawyer,Where they live,westpac,,
10,Greater Adelaide Area,5,Lawyer,Where they live,westpac,,
11,"Brisbane, QLD",4,Lawyer,Where they live,westpac,,
12,Greater Brisbane Area,4,Lawyer,Where they live,westpac,,
13,Papua New Guinea,3,Lawyer,Where they live,westpac,,
14,United Kingdom,2,Lawyer,Where they live,westpac,,
0,University of Sydney,27,Lawyer,Where they studied,westpac,151.1868,-33.8884
1,UNSW,25,Lawyer,Where they studied,westpac,151.227939,-33.917226
2,University of Technology Sydney,22,Lawyer,Where they studied,westpac,151.200549,-33.883964
3,Macquarie University,15,Lawyer,Where they studied,westpac,151.112474,-33.7750065
4,The College of Law Australia,14,Lawyer,Where they studied,westpac,151.1949005,-33.8219605
5,The Australian National University,11,Lawyer,Where they studied,westpac,149.121305,-35.276845
6,University of Melbourne,9,Lawyer,Where they studied,westpac,144.9628925,-37.798269
7,University of Adelaide,6,Lawyer,Where they studied,westpac,138.604911,-34.9202175
8,QUT (Queensland University of Technology),5,Lawyer,Where they studied,westpac,153.027,-27.4773
9,The University of Queensland,5,Lawyer,Where they studied,westpac,153.013225,-27.497473
10,Australian Institute of Company Directors,5,Lawyer,Where they studied,westpac,151.20829,-33.86441
11,Monash University,5,Lawyer,Where they studied,westpac,145.133607,-37.91063
12,Ascham School,3,Lawyer,Where they studied,westpac,,
13,University of New England (AU),3,Lawyer,Where they studied,westpac,151.643847,-30.48505
14,LPAB/LEC Diploma in Law,2,Lawyer,Where they studied,westpac,,
0,Legal Advice,60,Lawyer,What they are skilled at,westpac,,
1,Corporate Law,57,Lawyer,What they are skilled at,westpac,,
2,Corporate Governance,57,Lawyer,What they are skilled at,westpac,,
3,Legal Research,38,Lawyer,What they are skilled at,westpac,,
4,Legal Writing,38,Lawyer,What they are skilled at,westpac,,
5,Dispute Resolution,37,Lawyer,What they are skilled at,westpac,,
6,Risk Management,33,Lawyer,What they are skilled at,westpac,,
7,Commercial Litigation,32,Lawyer,What they are skilled at,westpac,,
8,Litigation,31,Lawyer,What they are skilled at,westpac,,
9,Banking,26,Lawyer,What they are skilled at,westpac,,
10,Financial Services,24,Lawyer,What they are skilled at,westpac,,
11,Leadership,23,Lawyer,What they are skilled at,westpac,,
12,Due Diligence,23,Lawyer,What they are skilled at,westpac,,
13,Banking Law,20,Lawyer,What they are skilled at,westpac,,
14,Regulatory Compliance,19,Lawyer,What they are skilled at,westpac,,
0,Law,41,Lawyer,What they studied,westpac,,
1,Jurisprudence,21,Lawyer,What they studied,westpac,,
2,Economics,7,Lawyer,What they studied,westpac,,
3,History,6,Lawyer,What they studied,westpac,,
4,Banking,5,Lawyer,What they studied,westpac,,
5,Political Science and Government,5,Lawyer,What they studied,westpac,,
6,Accounting,5,Lawyer,What they studied,westpac,,
7,Finance,5,Lawyer,What they studied,westpac,,
8,Arts,5,Lawyer,What they studied,westpac,,
9,Legal Studies,4,Lawyer,What they studied,westpac,,
10,E-Commerce,4,Lawyer,What they studied,westpac,,
11,Accounting,4,Lawyer,What they studied,westpac,,
12,International Business,4,Lawyer,What they studied,westpac,,
13,Marketing,4,Lawyer,What they studied,westpac,,
14,Chinese Studies,3,Lawyer,What they studied,westpac,,
0,Australia,400,Lawyer,Where they live,herbert-smith-freehills,,
1,United Kingdom,258,Lawyer,Where they live,herbert-smith-freehills,,
2,"England, United Kingdom",237,Lawyer,Where they live,herbert-smith-freehills,,
3,"London Area, United Kingdom",221,Lawyer,Where they live,herbert-smith-freehills,,
4,Greater London,202,Lawyer,Where they live,herbert-smith-freehills,,
5,"Victoria, Australia",158,Lawyer,Where they live,herbert-smith-freehills,,
6,Greater Melbourne Area,157,Lawyer,Where they live,herbert-smith-freehills,,
7,"Melbourne, VIC",155,Lawyer,Where they live,herbert-smith-freehills,,
8,"New South Wales, Australia",149,Lawyer,Where they live,herbert-smith-freehills,,
9,"Sydney, NSW",148,Lawyer,Where they live,herbert-smith-freehills,,
10,Greater Sydney Area,148,Lawyer,Where they live,herbert-smith-freehills,,
11,"Western Australia, Australia",44,Lawyer,Where they live,herbert-smith-freehills,,
12,Spain,44,Lawyer,Where they live,herbert-smith-freehills,,
13,Greater Perth Area,44,Lawyer,Where they live,herbert-smith-freehills,,
14,Greater Brisbane Area,42,Lawyer,Where they live,herbert-smith-freehills,,
0,University of Melbourne,66,Lawyer,Where they studied,herbert-smith-freehills,144.9628925,-37.798269
1,The College of Law Australia,62,Lawyer,Where they studied,herbert-smith-freehills,151.1949005,-33.8219605
2,Monash University,52,Lawyer,Where they studied,herbert-smith-freehills,145.133607,-37.91063
3,University of Sydney,51,Lawyer,Where they studied,herbert-smith-freehills,151.1868,-33.8884
4,UNSW,36,Lawyer,Where they studied,herbert-smith-freehills,151.227939,-33.917226
5,The University of Western Australia,34,Lawyer,Where they studied,herbert-smith-freehills,115.817898,-31.980069
6,QUT (Queensland University of Technology),28,Lawyer,Where they studied,herbert-smith-freehills,153.027,-27.4773
7,The Australian National University,25,Lawyer,Where they studied,herbert-smith-freehills,149.121305,-35.276845
8,University of Technology Sydney,25,Lawyer,Where they studied,herbert-smith-freehills,151.200549,-33.883964
9,The University of Queensland,19,Lawyer,Where they studied,herbert-smith-freehills,153.013225,-27.497473
10,Deakin University,16,Lawyer,Where they studied,herbert-smith-freehills,145.114309,-37.846971
11,Macquarie University,16,Lawyer,Where they studied,herbert-smith-freehills,151.112474,-33.7750065
12,Murdoch University,12,Lawyer,Where they studied,herbert-smith-freehills,115.841134,-32.06937175
13,University of Cambridge,9,Lawyer,Where they studied,herbert-smith-freehills,0.136473,52.186507
14,Griffith University,8,Lawyer,Where they studied,herbert-smith-freehills,153.0593735,-27.549348
0,Legal Advice,166,Lawyer,What they are skilled at,herbert-smith-freehills,,
1,Legal Research,160,Lawyer,What they are skilled at,herbert-smith-freehills,,
2,Legal Writing,125,Lawyer,What they are skilled at,herbert-smith-freehills,,
3,Corporate Law,123,Lawyer,What they are skilled at,herbert-smith-freehills,,
4,Dispute Resolution,111,Lawyer,What they are skilled at,herbert-smith-freehills,,
5,Litigation,104,Lawyer,What they are skilled at,herbert-smith-freehills,,
6,Commercial Litigation,92,Lawyer,What they are skilled at,herbert-smith-freehills,,
7,Teamwork,83,Lawyer,What they are skilled at,herbert-smith-freehills,,
8,Corporate Governance,79,Lawyer,What they are skilled at,herbert-smith-freehills,,
9,Research Skills,74,Lawyer,What they are skilled at,herbert-smith-freehills,,
10,Leadership,69,Lawyer,What they are skilled at,herbert-smith-freehills,,
11,Customer Service,65,Lawyer,What they are skilled at,herbert-smith-freehills,,
12,Public Speaking,64,Lawyer,What they are skilled at,herbert-smith-freehills,,
13,Microsoft Office,62,Lawyer,What they are skilled at,herbert-smith-freehills,,
14,Alternative Dispute Resolution,57,Lawyer,What they are skilled at,herbert-smith-freehills,,
0,Law,125,Lawyer,What they studied,herbert-smith-freehills,,
1,Jurisprudence,72,Lawyer,What they studied,herbert-smith-freehills,,
2,Political Science and Government,34,Lawyer,What they studied,herbert-smith-freehills,,
3,Economics,25,Lawyer,What they studied,herbert-smith-freehills,,
4,International/Global Studies,19,Lawyer,What they studied,herbert-smith-freehills,,
5,Finance,17,Lawyer,What they studied,herbert-smith-freehills,,
6,Arts,17,Lawyer,What they studied,herbert-smith-freehills,,
7,International Relations,14,Lawyer,What they studied,herbert-smith-freehills,,
8,Accounting,13,Lawyer,What they studied,herbert-smith-freehills,,
9,History,13,Lawyer,What they studied,herbert-smith-freehills,,
10,Legal Studies,11,Lawyer,What they studied,herbert-smith-freehills,,
11,E-Commerce,10,Lawyer,What they studied,herbert-smith-freehills,,
12,Accounting,9,Lawyer,What they studied,herbert-smith-freehills,,
13,Psychology,8,Lawyer,What they studied,herbert-smith-freehills,,
14,Criminology,8,Lawyer,What they studied,herbert-smith-freehills,,
0,Australia,382,Lawyer,Where they live,Norton Rose Fulbright,,
1,Canada,317,Lawyer,Where they live,Norton Rose Fulbright,,
2,United Kingdom,234,Lawyer,Where they live,Norton Rose Fulbright,,
3,"England, United Kingdom",223,Lawyer,Where they live,Norton Rose Fulbright,,
4,"London Area, United Kingdom",213,Lawyer,Where they live,Norton Rose Fulbright,,
5,Greater London,198,Lawyer,Where they live,Norton Rose Fulbright,,
6,"New South Wales, Australia",187,Lawyer,Where they live,Norton Rose Fulbright,,
7,United States,185,Lawyer,Where they live,Norton Rose Fulbright,,
8,"Sydney, NSW",183,Lawyer,Where they live,Norton Rose Fulbright,,
9,Greater Sydney Area,183,Lawyer,Where they live,Norton Rose Fulbright,,
10,"Ontario, Canada",115,Lawyer,Where they live,Norton Rose Fulbright,,
11,"Victoria, Australia",94,Lawyer,Where they live,Norton Rose Fulbright,,
12,Greater Melbourne Area,94,Lawyer,Where they live,Norton Rose Fulbright,,
13,"Melbourne, VIC",93,Lawyer,Where they live,Norton Rose Fulbright,,
14,"Quebec, Canada",91,Lawyer,Where they live,Norton Rose Fulbright,,
0,The College of Law Australia,71,Lawyer,Where they studied,Norton Rose Fulbright,151.1949005,-33.8219605
1,University of Sydney,64,Lawyer,Where they studied,Norton Rose Fulbright,151.1868,-33.8884
2,UNSW,38,Lawyer,Where they studied,Norton Rose Fulbright,151.227939,-33.917226
3,Monash University,36,Lawyer,Where they studied,Norton Rose Fulbright,145.133607,-37.91063
4,University of Melbourne,34,Lawyer,Where they studied,Norton Rose Fulbright,144.9628925,-37.798269
5,University of Technology Sydney,33,Lawyer,Where they studied,Norton Rose Fulbright,151.200549,-33.883964
6,The Australian National University,32,Lawyer,Where they studied,Norton Rose Fulbright,149.121305,-35.276845
7,QUT (Queensland University of Technology),30,Lawyer,Where they studied,Norton Rose Fulbright,153.027,-27.4773
8,Macquarie University,29,Lawyer,Where they studied,Norton Rose Fulbright,151.112474,-33.7750065
9,The University of Queensland,22,Lawyer,Where they studied,Norton Rose Fulbright,153.013225,-27.497473
10,The University of Western Australia,11,Lawyer,Where they studied,Norton Rose Fulbright,115.817898,-31.980069
11,Deakin University,9,Lawyer,Where they studied,Norton Rose Fulbright,145.114309,-37.846971
12,University of Newcastle,9,Lawyer,Where they studied,Norton Rose Fulbright,151.702652,-32.893239
13,Bond University,8,Lawyer,Where they studied,Norton Rose Fulbright,153.4173785,-28.0739325
14,Griffith University,8,Lawyer,Where they studied,Norton Rose Fulbright,153.0593735,-27.549348
0,Legal Research,128,Lawyer,What they are skilled at,Norton Rose Fulbright,,
1,Legal Advice,114,Lawyer,What they are skilled at,Norton Rose Fulbright,,
2,Legal Writing,111,Lawyer,What they are skilled at,Norton Rose Fulbright,,
3,Dispute Resolution,90,Lawyer,What they are skilled at,Norton Rose Fulbright,,
4,Corporate Law,83,Lawyer,What they are skilled at,Norton Rose Fulbright,,
5,Litigation,80,Lawyer,What they are skilled at,Norton Rose Fulbright,,
6,Commercial Litigation,73,Lawyer,What they are skilled at,Norton Rose Fulbright,,
7,Research Skills,66,Lawyer,What they are skilled at,Norton Rose Fulbright,,
8,Teamwork,64,Lawyer,What they are skilled at,Norton Rose Fulbright,,
9,Leadership,60,Lawyer,What they are skilled at,Norton Rose Fulbright,,
10,Microsoft Office,58,Lawyer,What they are skilled at,Norton Rose Fulbright,,
11,Customer Service,58,Lawyer,What they are skilled at,Norton Rose Fulbright,,
12,Public Speaking,57,Lawyer,What they are skilled at,Norton Rose Fulbright,,
13,Legal Assistance,51,Lawyer,What they are skilled at,Norton Rose Fulbright,,
14,Time Management,47,Lawyer,What they are skilled at,Norton Rose Fulbright,,
0,Law,118,Lawyer,What they studied,Norton Rose Fulbright,,
1,Jurisprudence,66,Lawyer,What they studied,Norton Rose Fulbright,,
2,Political Science and Government,28,Lawyer,What they studied,Norton Rose Fulbright,,
3,Economics,18,Lawyer,What they studied,Norton Rose Fulbright,,
4,International/Global Studies,16,Lawyer,What they studied,Norton Rose Fulbright,,
5,Legal Studies,12,Lawyer,What they studied,Norton Rose Fulbright,,
6,Business/Commerce,12,Lawyer,What they studied,Norton Rose Fulbright,,
7,Arts,12,Lawyer,What they studied,Norton Rose Fulbright,,
8,Accounting,11,Lawyer,What they studied,Norton Rose Fulbright,,
9,International Relations,11,Lawyer,What they studied,Norton Rose Fulbright,,
10,E-Commerce,10,Lawyer,What they studied,Norton Rose Fulbright,,
11,Marketing,9,Lawyer,What they studied,Norton Rose Fulbright,,
12,Finance,8,Lawyer,What they studied,Norton Rose Fulbright,,
13,History,8,Lawyer,What they studied,Norton Rose Fulbright,,
14,Psychology,7,Lawyer,What they studied,Norton Rose Fulbright,,
0,Australia,469,Lawyer,Where they live,hall-&-wilcox,,
1,"Victoria, Australia",180,Lawyer,Where they live,hall-&-wilcox,,
2,Greater Melbourne Area,179,Lawyer,Where they live,hall-&-wilcox,,
3,"Melbourne, VIC",177,Lawyer,Where they live,hall-&-wilcox,,
4,"New South Wales, Australia",177,Lawyer,Where they live,hall-&-wilcox,,
5,Greater Sydney Area,143,Lawyer,Where they live,hall-&-wilcox,,
6,"Sydney, NSW",139,Lawyer,Where they live,hall-&-wilcox,,
7,"Queensland, Australia",45,Lawyer,Where they live,hall-&-wilcox,,
8,"Western Australia, Australia",44,Lawyer,Where they live,hall-&-wilcox,,
9,"Brisbane, QLD",44,Lawyer,Where they live,hall-&-wilcox,,
10,Greater Brisbane Area,44,Lawyer,Where they live,hall-&-wilcox,,
11,Greater Perth Area,44,Lawyer,Where they live,hall-&-wilcox,,
12,"Perth, WA",42,Lawyer,Where they live,hall-&-wilcox,,
13,Greater Newcastle Area,30,Lawyer,Where they live,hall-&-wilcox,,
14,"Newcastle, NSW",27,Lawyer,Where they live,hall-&-wilcox,,
0,The College of Law Australia,110,Lawyer,Where they studied,hall-&-wilcox,151.1949005,-33.8219605
1,Monash University,85,Lawyer,Where they studied,hall-&-wilcox,145.133607,-37.91063
2,University of Melbourne,47,Lawyer,Where they studied,hall-&-wilcox,144.9628925,-37.798269
3,University of Newcastle,32,Lawyer,Where they studied,hall-&-wilcox,151.702652,-32.893239
4,University of Sydney,32,Lawyer,Where they studied,hall-&-wilcox,151.1868,-33.8884
5,Macquarie University,31,Lawyer,Where they studied,hall-&-wilcox,151.112474,-33.7750065
6,University of Technology Sydney,30,Lawyer,Where they studied,hall-&-wilcox,151.200549,-33.883964
7,The Australian National University,29,Lawyer,Where they studied,hall-&-wilcox,149.121305,-35.276845
8,Deakin University,27,Lawyer,Where they studied,hall-&-wilcox,145.114309,-37.846971
9,UNSW,22,Lawyer,Where they studied,hall-&-wilcox,151.227939,-33.917226
10,QUT (Queensland University of Technology),21,Lawyer,Where they studied,hall-&-wilcox,153.027,-27.4773
11,La Trobe University,18,Lawyer,Where they studied,hall-&-wilcox,145.0482135,-37.7212385
12,The University of Western Australia,18,Lawyer,Where they studied,hall-&-wilcox,115.817898,-31.980069
13,The University of Notre Dame Australia,17,Lawyer,Where they studied,hall-&-wilcox,115.7439855,-32.056436
14,The University of Queensland,17,Lawyer,Where they studied,hall-&-wilcox,153.013225,-27.497473
0,Legal Research,213,Lawyer,What they are skilled at,hall-&-wilcox,,
1,Legal Writing,177,Lawyer,What they are skilled at,hall-&-wilcox,,
2,Legal Advice,175,Lawyer,What they are skilled at,hall-&-wilcox,,
3,Litigation,137,Lawyer,What they are skilled at,hall-&-wilcox,,
4,Dispute Resolution,135,Lawyer,What they are skilled at,hall-&-wilcox,,
5,Customer Service,117,Lawyer,What they are skilled at,hall-&-wilcox,,
6,Research Skills,103,Lawyer,What they are skilled at,hall-&-wilcox,,
7,Microsoft Office,103,Lawyer,What they are skilled at,hall-&-wilcox,,
8,Teamwork,103,Lawyer,What they are skilled at,hall-&-wilcox,,
9,Corporate Law,90,Lawyer,What they are skilled at,hall-&-wilcox,,
10,Civil Litigation,88,Lawyer,What they are skilled at,hall-&-wilcox,,
11,Legal Assistance,87,Lawyer,What they are skilled at,hall-&-wilcox,,
12,Time Management,86,Lawyer,What they are skilled at,hall-&-wilcox,,
13,Commercial Litigation,84,Lawyer,What they are skilled at,hall-&-wilcox,,
14,Leadership,75,Lawyer,What they are skilled at,hall-&-wilcox,,
0,Law,176,Lawyer,What they studied,hall-&-wilcox,,
1,Jurisprudence,55,Lawyer,What they studied,hall-&-wilcox,,
2,Political Science and Government,27,Lawyer,What they studied,hall-&-wilcox,,
3,Business/Commerce,18,Lawyer,What they studied,hall-&-wilcox,,
4,Psychology,17,Lawyer,What they studied,hall-&-wilcox,,
5,E-Commerce,17,Lawyer,What they studied,hall-&-wilcox,,
6,International/Global Studies,15,Lawyer,What they studied,hall-&-wilcox,,
7,International Relations,14,Lawyer,What they studied,hall-&-wilcox,,
8,Arts,14,Lawyer,What they studied,hall-&-wilcox,,
9,Economics,12,Lawyer,What they studied,hall-&-wilcox,,
10,Legal Studies,11,Lawyer,What they studied,hall-&-wilcox,,
11,Finance,11,Lawyer,What they studied,hall-&-wilcox,,
12,History,11,Lawyer,What they studied,hall-&-wilcox,,
13,Criminology,10,Lawyer,What they studied,hall-&-wilcox,,
14,French Studies,9,Lawyer,What they studied,hall-&-wilcox,,
0,Australia,11175,Nurse,Where they live,queensland-health,,
1,"Queensland, Australia",10459,Nurse,Where they live,queensland-health,,
2,Greater Brisbane Area,5463,Nurse,Where they live,queensland-health,,
3,"Brisbane, QLD",5247,Nurse,Where they live,queensland-health,,
4,Gold Coast,1098,Nurse,Where they live,queensland-health,,
5,"Gold Coast, QLD",1057,Nurse,Where they live,queensland-health,,
6,"Sunshine Coast, QLD",555,Nurse,Where they live,queensland-health,,
7,South Africa,554,Nurse,Where they live,queensland-health,,
8,"Townsville, QLD",503,Nurse,Where they live,queensland-health,,
9,"Cairns, QLD",477,Nurse,Where they live,queensland-health,,
10,Philippines,364,Nurse,Where they live,queensland-health,,
11,"Westbrook, QLD",269,Nurse,Where they live,queensland-health,,
12,Rockhampton Area,252,Nurse,Where they live,queensland-health,,
13,"Bundaberg, QLD",219,Nurse,Where they live,queensland-health,,
14,"Hervey Bay, QLD",200,Nurse,Where they live,queensland-health,,
0,QUT (Queensland University of Technology),1605,Nurse,Where they studied,queensland-health,153.027,-27.4773
1,Griffith University,1394,Nurse,Where they studied,queensland-health,153.0593735,-27.549348
2,James Cook University,640,Nurse,Where they studied,queensland-health,146.757042,-19.327193
3,University of Southern Queensland,614,Nurse,Where they studied,queensland-health,151.9319815,-27.603528
4,The University of Queensland,553,Nurse,Where they studied,queensland-health,153.013225,-27.497473
5,University of Tasmania,493,Nurse,Where they studied,queensland-health,147.326802,-42.903399
6,CQUniversity,483,Nurse,Where they studied,queensland-health,150.518641,-23.3212855
7,Australian Catholic University,431,Nurse,Where they studied,queensland-health,153.088733,-27.378408
8,TAFE Queensland,421,Nurse,Where they studied,queensland-health,153.03402,-27.586853
9,University of the Sunshine Coast,368,Nurse,Where they studied,queensland-health,153.0626015,-26.717528
10,Southern Cross University,216,Nurse,Where they studied,queensland-health,153.3001105,-28.8174585
11,University of Newcastle,157,Nurse,Where they studied,queensland-health,151.702652,-32.893239
12,Flinders University,157,Nurse,Where they studied,queensland-health,138.572376,-35.023065
13,Australian College of Nursing (ACN),126,Nurse,Where they studied,queensland-health,151.00502,-33.80825
14,Monash University,100,Nurse,Where they studied,queensland-health,145.133607,-37.91063
0,Nursing,2601,Nurse,What they are skilled at,queensland-health,,
1,Healthcare,2121,Nurse,What they are skilled at,queensland-health,,
2,Hospitals,1686,Nurse,What they are skilled at,queensland-health,,
3,Patient Safety,1605,Nurse,What they are skilled at,queensland-health,,
4,Customer Service,1268,Nurse,What they are skilled at,queensland-health,,
5,Healthcare Management,1172,Nurse,What they are skilled at,queensland-health,,
6,Basic Life Support (BLS),1106,Nurse,What they are skilled at,queensland-health,,
7,Leadership,1098,Nurse,What they are skilled at,queensland-health,,
8,Clinical Research,1025,Nurse,What they are skilled at,queensland-health,,
9,Communication,991,Nurse,What they are skilled at,queensland-health,,
10,Acute Care,888,Nurse,What they are skilled at,queensland-health,,
11,Nursing Education,855,Nurse,What they are skilled at,queensland-health,,
12,Microsoft Office,808,Nurse,What they are skilled at,queensland-health,,
13,Teamwork,808,Nurse,What they are skilled at,queensland-health,,
14,Critical Care Medicine,804,Nurse,What they are skilled at,queensland-health,,
0,Registered Nursing,3057,Nurse,What they studied,queensland-health,,
1,Nursing,1525,Nurse,What they studied,queensland-health,,
2,Nursing Science,330,Nurse,What they studied,queensland-health,,
3,Health Care Administration,280,Nurse,What they studied,queensland-health,,
4,Critical Care Nursing,260,Nurse,What they studied,queensland-health,,
5,Mental Health Nurse,246,Nurse,What they studied,queensland-health,,
6,Health Care Administration,239,Nurse,What they studied,queensland-health,,
7,Nursing,231,Nurse,What they studied,queensland-health,,
8,Trauma Nursing,219,Nurse,What they studied,queensland-health,,
9,Organizational Leadership,202,Nurse,What they studied,queensland-health,,
10,Public Health,194,Nurse,What they studied,queensland-health,,
11,Business Administration and Management,147,Nurse,What they studied,queensland-health,,
12,Nursing Education,141,Nurse,What they studied,queensland-health,,
13,Health and Wellness,134,Nurse,What they studied,queensland-health,,
14,Nursing Practice,118,Nurse,What they studied,queensland-health,,
0,Australia,8367,Nurse,Where they live,queensland-government,,
1,"Queensland, Australia",7849,Nurse,Where they live,queensland-government,,
2,Greater Brisbane Area,4225,Nurse,Where they live,queensland-government,,
3,"Brisbane, QLD",4051,Nurse,Where they live,queensland-government,,
4,Gold Coast,783,Nurse,Where they live,queensland-government,,
5,"Gold Coast, QLD",754,Nurse,Where they live,queensland-government,,
6,South Africa,553,Nurse,Where they live,queensland-government,,
7,"Sunshine Coast, QLD",397,Nurse,Where they live,queensland-government,,
8,"Townsville, QLD",373,Nurse,Where they live,queensland-government,,
9,Philippines,359,Nurse,Where they live,queensland-government,,
10,"Cairns, QLD",332,Nurse,Where they live,queensland-government,,
