,Location,Value,Title,Category,company,longitude,latitude
6,La Trobe University,56,Data Analyst,Where they studied,NAB,145.0482135,-37.7212385
7,Victoria University,47,Data Analyst,Where they studied,NAB,144.899006,-37.7993545
8,Melbourne Business School,31,Data Analyst,Where they studied,NAB,144.961126,-37.801423
9,University of Technology Sydney,24,Data Analyst,Where they studied,NAB,151.200549,-33.883964
10,UNSW,22,Data Analyst,Where they studied,NAB,151.227939,-33.917226
11,Jawaharlal Nehru Technological University,21,Data Analyst,Where they studied,NAB,82.240758,16.9794775
12,Macquarie University,21,Data Analyst,Where they studied,NAB,151.112474,-33.7750065
13,University of Sydney,20,Data Analyst,Where they studied,NAB,151.1868,-33.8884
14,The University of Auckland,15,Data Analyst,Where they studied,NAB,174.769411,-36.852596
0,SQL,613,Data Analyst,What they are skilled at,NAB,,
1,Data Analysis,563,Data Analyst,What they are skilled at,NAB,,
2,Business Analysis,552,Data Analyst,What they are skilled at,NAB,,
3,Microsoft Excel,463,Data Analyst,What they are skilled at,NAB,,
4,Project Management,383,Data Analyst,What they are skilled at,NAB,,
5,Stakeholder Management,376,Data Analyst,What they are skilled at,NAB,,
6,Analytical Skills,370,Data Analyst,What they are skilled at,NAB,,
7,Microsoft Office,353,Data Analyst,What they are skilled at,NAB,,
8,Python,347,Data Analyst,What they are skilled at,NAB,,
9,Requirements Analysis,334,Data Analyst,What they are skilled at,NAB,,
10,Management,317,Data Analyst,What they are skilled at,NAB,,
11,Software Development Life Cycle (SDLC),302,Data Analyst,What they are skilled at,NAB,,
12,Agile Methodologies,283,Data Analyst,What they are skilled at,NAB,,
13,Business Intelligence (BI),275,Data Analyst,What they are skilled at,NAB,,
14,Customer Service,259,Data Analyst,What they are skilled at,NAB,,
0,Information Technology,189,Data Analyst,What they studied,NAB,,
1,Computer Science,138,Data Analyst,What they studied,NAB,,
2,Computational Science,116,Data Analyst,What they studied,NAB,,
3,Finance,86,Data Analyst,What they studied,NAB,,
4,Accounting,76,Data Analyst,What they studied,NAB,,
5,Business/Commerce,72,Data Analyst,What they studied,NAB,,
6,Accounting and Finance,67,Data Analyst,What they studied,NAB,,
7,Economics,66,Data Analyst,What they studied,NAB,,
8,Data Science,61,Data Analyst,What they studied,NAB,,
9,Business Administration and Management,58,Data Analyst,What they studied,NAB,,
10,Mathematics,57,Data Analyst,What they studied,NAB,,
11,Accounting,49,Data Analyst,What they studied,NAB,,
12,Marketing,45,Data Analyst,What they studied,NAB,,
13,Banking,44,Data Analyst,What they studied,NAB,,
14,Management Information Systems,34,Data Analyst,What they studied,NAB,,
0,Australia,1296,Data Analyst,Where they live,ANZ,,
1,"Victoria, Australia",1153,Data Analyst,Where they live,ANZ,,
2,Greater Melbourne Area,1122,Data Analyst,Where they live,ANZ,,
3,"Melbourne, VIC",1102,Data Analyst,Where they live,ANZ,,
4,India,613,Data Analyst,Where they live,ANZ,,
5,"Karnataka, India",550,Data Analyst,Where they live,ANZ,,
6,Greater Bengaluru Area,547,Data Analyst,Where they live,ANZ,,
7,Bengaluru,524,Data Analyst,Where they live,ANZ,,
8,New Zealand,216,Data Analyst,Where they live,ANZ,,
9,"Auckland, New Zealand",114,Data Analyst,Where they live,ANZ,,
10,Auckland,113,Data Analyst,Where they live,ANZ,,
11,Philippines,87,Data Analyst,Where they live,ANZ,,
12,"New South Wales, Australia",87,Data Analyst,Where they live,ANZ,,
13,Greater Sydney Area,85,Data Analyst,Where they live,ANZ,,
14,"Sydney, NSW",84,Data Analyst,Where they live,ANZ,,
0,Monash University,219,Data Analyst,Where they studied,ANZ,145.133607,-37.91063
1,University of Melbourne,144,Data Analyst,Where they studied,ANZ,144.9628925,-37.798269
2,RMIT University,120,Data Analyst,Where they studied,ANZ,144.9639,-37.8083
3,Deakin University,86,Data Analyst,Where they studied,ANZ,145.114309,-37.846971
4,Swinburne University of Technology,79,Data Analyst,Where they studied,ANZ,110.357014,1.532147
5,La Trobe University,43,Data Analyst,Where they studied,ANZ,145.0482135,-37.7212385
6,Victoria University,33,Data Analyst,Where they studied,ANZ,144.899006,-37.7993545
7,UNSW,29,Data Analyst,Where they studied,ANZ,151.227939,-33.917226
8,Melbourne Business School,25,Data Analyst,Where they studied,ANZ,144.961126,-37.801423
9,University of Sydney,22,Data Analyst,Where they studied,ANZ,151.1868,-33.8884
10,Visvesvaraya Technological University,21,Data Analyst,Where they studied,ANZ,-81.220273,28.599615
11,University of Technology Sydney,16,Data Analyst,Where they studied,ANZ,151.200549,-33.883964
12,Chartered Accountants Australia and New Zealand,14,Data Analyst,Where they studied,ANZ,149.140964,-35.288978
13,Macquarie University,14,Data Analyst,Where they studied,ANZ,151.112474,-33.7750065
14,CPA Australia,13,Data Analyst,Where they studied,ANZ,144.962111,-37.822531
0,Business Analysis,635,Data Analyst,What they are skilled at,ANZ,,
1,SQL,608,Data Analyst,What they are skilled at,ANZ,,
2,Data Analysis,596,Data Analyst,What they are skilled at,ANZ,,
3,Stakeholder Management,438,Data Analyst,What they are skilled at,ANZ,,
4,Project Management,436,Data Analyst,What they are skilled at,ANZ,,
5,Microsoft Excel,374,Data Analyst,What they are skilled at,ANZ,,
6,Management,369,Data Analyst,What they are skilled at,ANZ,,
7,Requirements Analysis,369,Data Analyst,What they are skilled at,ANZ,,
8,Analytical Skills,354,Data Analyst,What they are skilled at,ANZ,,
9,Python,353,Data Analyst,What they are skilled at,ANZ,,
10,Agile Methodologies,339,Data Analyst,What they are skilled at,ANZ,,
11,Software Development Life Cycle (SDLC),315,Data Analyst,What they are skilled at,ANZ,,
12,Banking,313,Data Analyst,What they are skilled at,ANZ,,
13,Business Process Improvement,304,Data Analyst,What they are skilled at,ANZ,,
14,Microsoft Office,300,Data Analyst,What they are skilled at,ANZ,,
0,Information Technology,189,Data Analyst,What they studied,ANZ,,
1,Computer Science,142,Data Analyst,What they studied,ANZ,,
2,Computational Science,116,Data Analyst,What they studied,ANZ,,
3,Business/Commerce,100,Data Analyst,What they studied,ANZ,,
4,Finance,98,Data Analyst,What they studied,ANZ,,
5,Accounting,79,Data Analyst,What they studied,ANZ,,
6,Economics,68,Data Analyst,What they studied,ANZ,,
7,Data Science,65,Data Analyst,What they studied,ANZ,,
8,Business Administration and Management,58,Data Analyst,What they studied,ANZ,,
9,Accounting and Finance,55,Data Analyst,What they studied,ANZ,,
10,Marketing,54,Data Analyst,What they studied,ANZ,,
11,Mathematics,51,Data Analyst,What they studied,ANZ,,
12,Electrical and Electronics Engineering,45,Data Analyst,What they studied,ANZ,,
13,Accounting,45,Data Analyst,What they studied,ANZ,,
14,Management Information Systems,39,Data Analyst,What they studied,ANZ,,
0,Australia,1769,Data Analyst,Where they live,commonwealthbank,,
1,"New South Wales, Australia",1539,Data Analyst,Where they live,commonwealthbank,,
2,Greater Sydney Area,1512,Data Analyst,Where they live,commonwealthbank,,
3,"Sydney, NSW",1478,Data Analyst,Where they live,commonwealthbank,,
4,India,430,Data Analyst,Where they live,commonwealthbank,,
5,"Karnataka, India",372,Data Analyst,Where they live,commonwealthbank,,
6,Greater Bengaluru Area,370,Data Analyst,Where they live,commonwealthbank,,
7,Bengaluru,358,Data Analyst,Where they live,commonwealthbank,,
8,"Victoria, Australia",152,Data Analyst,Where they live,commonwealthbank,,
9,Greater Melbourne Area,150,Data Analyst,Where they live,commonwealthbank,,
10,"Melbourne, VIC",146,Data Analyst,Where they live,commonwealthbank,,
11,"Perth, WA",29,Data Analyst,Where they live,commonwealthbank,,
12,"Queensland, Australia",29,Data Analyst,Where they live,commonwealthbank,,
13,"Western Australia, Australia",29,Data Analyst,Where they live,commonwealthbank,,
14,Greater Perth Area,29,Data Analyst,Where they live,commonwealthbank,,
0,UNSW,249,Data Analyst,Where they studied,commonwealthbank,151.227939,-33.917226
1,University of Technology Sydney,165,Data Analyst,Where they studied,commonwealthbank,151.200549,-33.883964
2,University of Sydney,151,Data Analyst,Where they studied,commonwealthbank,151.1868,-33.8884
3,Macquarie University,113,Data Analyst,Where they studied,commonwealthbank,151.112474,-33.7750065
4,Western Sydney University,46,Data Analyst,Where they studied,commonwealthbank,151.189728,-33.889192
5,University of Melbourne,45,Data Analyst,Where they studied,commonwealthbank,144.9628925,-37.798269
6,Monash University,44,Data Analyst,Where they studied,commonwealthbank,145.133607,-37.91063
7,TAFE NSW,40,Data Analyst,Where they studied,commonwealthbank,151.199666,-33.882324
8,University of Wollongong,37,Data Analyst,Where they studied,commonwealthbank,150.8778,-34.4053
9,The Australian National University,33,Data Analyst,Where they studied,commonwealthbank,149.121305,-35.276845
10,RMIT University,30,Data Analyst,Where they studied,commonwealthbank,144.9639,-37.8083
11,Chartered Accountants Australia and New Zealand,30,Data Analyst,Where they studied,commonwealthbank,149.140964,-35.288978
12,Anna University Chennai,24,Data Analyst,Where they studied,commonwealthbank,80.241089,13.017796
13,Curtin University,20,Data Analyst,Where they studied,commonwealthbank,114.017186,4.51234
14,University of Madras,16,Data Analyst,Where they studied,commonwealthbank,80.282651,13.065414
0,SQL,942,Data Analyst,What they are skilled at,commonwealthbank,,
1,Data Analysis,809,Data Analyst,What they are skilled at,commonwealthbank,,
2,Business Analysis,689,Data Analyst,What they are skilled at,commonwealthbank,,
3,Microsoft Excel,596,Data Analyst,What they are skilled at,commonwealthbank,,
4,Analytical Skills,499,Data Analyst,What they are skilled at,commonwealthbank,,
5,Python,480,Data Analyst,What they are skilled at,commonwealthbank,,
6,Tableau,464,Data Analyst,What they are skilled at,commonwealthbank,,
7,Project Management,462,Data Analyst,What they are skilled at,commonwealthbank,,
8,Microsoft Office,452,Data Analyst,What they are skilled at,commonwealthbank,,
9,Requirements Analysis,448,Data Analyst,What they are skilled at,commonwealthbank,,
10,Stakeholder Management,428,Data Analyst,What they are skilled at,commonwealthbank,,
11,Business Intelligence (BI),428,Data Analyst,What they are skilled at,commonwealthbank,,
12,Agile Methodologies,427,Data Analyst,What they are skilled at,commonwealthbank,,
13,Software Development Life Cycle (SDLC),410,Data Analyst,What they are skilled at,commonwealthbank,,
14,Communication,409,Data Analyst,What they are skilled at,commonwealthbank,,
0,Information Technology,248,Data Analyst,What they studied,commonwealthbank,,
