id,job_title,Cards_titles,Ratings,Reviews,Salaries,Jobs_count,logo,url
7,Lawyer,Herbert Smith Freehills,3.7,712,117.5K,12,https://media.glassdoor.com/sql/661319/herbert-smith-freehills-squarelogo-1393957784664.png,"https://www.glassdoor.com.au/Overview/Working-at-Herbert-Smith-Freehills-EI_IE661319.11,34.htm"
8,Lawyer,Norton Rose Fulbright,3.7,860,90.5K,106,https://media.glassdoor.com/sql/36196/norton-rose-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-Norton-Rose-Fulbright-EI_IE36196.11,32.htm"
9,Lawyer,Hall & Wilcox,4.1,89,96.5K,34,https://media.glassdoor.com/sql/1382545/hall-and-wilcox-squarelogo-1550840189646.png,"https://www.glassdoor.com.au/Overview/Working-at-Hall-and-Wilcox-EI_IE1382545.11,26.htm"
0,Nurse,Queensland Health,3.8,761,88.5K,1.2K,https://media.glassdoor.com/sql/242739/queensland-health-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-Queensland-Health-EI_IE242739.11,28.htm"
1,Nurse,Queensland Government,4,484,93K,18,https://media.glassdoor.com/sql/701198/queensland-government-squarelogo-1428430598841.png,"https://www.glassdoor.com.au/Overview/Working-at-Queensland-Government-EI_IE701198.11,32.htm"
2,Nurse,Northern NSW Local Health District,3.6,12,80K,63,https://media.glassdoor.com/sql/231682/northern-nsw-local-health-district-squarelogo-1460560726390.png,"https://www.glassdoor.com.au/Overview/Working-at-Northern-NSW-Local-Health-District-EI_IE231682.11,45.htm"
3,Nurse,Monash Health,3.6,316,78.5K,96,https://media.glassdoor.com/sql/138060/monash-health-squareLogo-1680011781703.png,"https://www.glassdoor.com.au/Overview/Working-at-Monash-Health-EI_IE138060.11,24.htm"
4,Nurse,St John of God Health Care,3.8,158,83K,57,https://media.glassdoor.com/sql/297668/st-john-of-god-health-care-squarelogo-1460457933141.png,"https://www.glassdoor.com.au/Overview/Working-at-St-John-of-God-Health-Care-EI_IE297668.11,37.htm"
5,Nurse,Epworth HealthCare,3.8,118,80K,36,https://media.glassdoor.com/sql/667001/epworth-healthcare-squarelogo-1573625706757.png,"https://www.glassdoor.com.au/Overview/Working-at-Epworth-HealthCare-EI_IE667001.11,29.htm"
6,Nurse,St. Vincent's Hospital,3.8,389,78.5K,--,https://media.glassdoor.com/sql/477250/st-vincent-s-hospital-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-St-Vincent-s-Hospital-EI_IE477250.11,32.htm"
7,Nurse,Sydney Children's Hospital Network,3.5,67,79.5K,34,https://media.glassdoor.com/sql/658223/sydney-children-s-hospital-network-squarelogo-1582541318432.png,"https://www.glassdoor.com.au/Overview/Working-at-Sydney-Children-s-Hospital-Network-EI_IE658223.11,45.htm"
8,Nurse,NSW Government,4,555,79K,437,https://media.glassdoor.com/sql/692679/nsw-government-squarelogo-1424865545375.png,"https://www.glassdoor.com.au/Overview/Working-at-NSW-Government-EI_IE692679.11,25.htm"
9,Nurse,Western NSW Local Health District,3.9,16,79.5K,88,https://media.glassdoor.com/sql/2336619/western-nsw-local-health-district-squarelogo-1585654864513.png,"https://www.glassdoor.com.au/Overview/Working-at-Western-NSW-Local-Health-District-EI_IE2336619.11,44.htm"
0,Accountant,KPMG,3.3,70.9K,70K,11.5K,https://media.glassdoor.com/sql/2867/kpmg-squareLogo-1724938664417.png,"https://www.glassdoor.com.au/Overview/Working-at-KPMG-EI_IE2867.11,15.htm"
1,Accountant,PwC,3.6,90.7K,69.5K,22.6K,https://media.glassdoor.com/sql/8450/pwc-squareLogo-1710175827241.png,"https://www.glassdoor.com.au/Overview/Working-at-PwC-EI_IE8450.11,14.htm"
2,Accountant,Deloitte,3.9,128.1K,69.5K,28.4K,https://media.glassdoor.com/sql/2763/deloitte-squareLogo-1674210308592.png,"https://www.glassdoor.com.au/Overview/Working-at-Deloitte-EI_IE2763.11,19.htm"
3,Accountant,EY,3.4,96.7K,66K,9.2K,https://media.glassdoor.com/sql/2784/ey-squareLogo-1689166016078.png,"https://www.glassdoor.com.au/Overview/Working-at-EY-EI_IE2784.11,13.htm"
4,Accountant,BDO,3.7,10.4K,67.5K,3K,https://media.glassdoor.com/sql/7508/bdo-squarelogo-1483547777625.png,"https://www.glassdoor.com.au/Overview/Working-at-BDO-EI_IE7508.11,14.htm"
5,Accountant,ABC,3.9,18.3K,75.5K,12,https://media.glassdoor.com/sql/130/abc-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-ABC-EI_IE130.11,14.htm"
6,Accountant,Hays,3.5,7.1K,79.5K,4.6K,https://media.glassdoor.com/sql/10166/hays-squareLogo-1656914533819.png,"https://www.glassdoor.com.au/Overview/Working-at-Hays-EI_IE10166.11,15.htm"
7,Accountant,McDonald's,3.5,155.8K,70.5K,87.9K,https://media.glassdoor.com/sql/432/mcdonald-s-squareLogo-1696368009989.png,"https://www.glassdoor.com.au/Overview/Working-at-McDonald-s-EI_IE432.11,21.htm"
8,Accountant,RSM,3.8,7.6K,65K,1.5K,https://media.glassdoor.com/sql/691963/rsm-squarelogo-1498047239127.png,"https://www.glassdoor.com.au/Overview/Working-at-RSM-EI_IE691963.11,14.htm"
9,Accountant,Woolworths Group,3.6,7.9K,76K,190,https://media.glassdoor.com/sql/7481/woolworths-limited-squarelogo-1504233417864.png,"https://www.glassdoor.com.au/Overview/Working-at-Woolworths-Group-EI_IE7481.11,27.htm"
0,Banker,NAB,3.7,4.6K,79K,119,https://media.glassdoor.com/sql/4262/national-australia-bank-squarelogo-1618838757130.png,"https://www.glassdoor.com.au/Overview/Working-at-NAB-National-Australia-Bank-EI_IE4262.11,38.htm"
1,Banker,Westpac Group,3.7,3.9K,70K,251,https://media.glassdoor.com/sql/5769/westpac-group-squareLogo-1616646560666.png,"https://www.glassdoor.com.au/Overview/Working-at-Westpac-Group-EI_IE5769.11,24.htm"
2,Banker,ANZ,3.9,5.8K,81K,191,https://media.glassdoor.com/sql/5782/anz-squareLogo-1716336044712.png,"https://www.glassdoor.com.au/Overview/Working-at-ANZ-EI_IE5782.11,14.htm"
3,Banker,Commonwealth Bank of Australia,3.9,7.4K,74K,552,https://media.glassdoor.com/sql/7922/commonwealth-bank-of-australia-squarelogo-1603344370848.png,"https://www.glassdoor.com.au/Overview/Working-at-Commonwealth-Bank-of-Australia-EI_IE7922.11,41.htm"
4,Banker,Macquarie Group,3.8,4.7K,83K,534,https://media.glassdoor.com/sql/12088/macquarie-group-squareLogo-1684797770187.png,"https://www.glassdoor.com.au/Overview/Working-at-Macquarie-Group-EI_IE12088.11,26.htm"
5,Banker,HSBC,3.9,32.4K,70K,1.8K,https://media.glassdoor.com/sql/3482/hsbc-holdings-squarelogo.png,"https://www.glassdoor.com.au/Overview/Working-at-HSBC-EI_IE3482.11,15.htm"
6,Banker,Bendigo Bank,3.6,307,72K,92,https://media.glassdoor.com/sql/352361/bendigo-bank-squareLogo-1682642471105.png,"https://www.glassdoor.com.au/Overview/Working-at-Bendigo-Bank-EI_IE352361.11,23.htm"
